Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2010-09-09,77.7213363647461,78.62650021102822,77.58326032540084,78.62650021102822,26500
2010-09-10,78.07418823242188,78.13555665540885,77.70598939932987,77.99748062989562,8600
2010-09-13,79.0560531616211,79.11742157961751,78.62648594047502,78.97934556533279,33750
2010-09-14,79.04074096679688,79.37826152858783,78.53446012411044,78.88731986942986,59400
2010-09-15,79.24018096923828,79.3015435522855,78.5498007013161,78.7185609726322,9250
2010-09-16,79.2094955444336,79.25551894412169,78.77992235515265,79.02539024084918,59550
2010-09-17,79.28620910644531,79.68509225595531,79.0253961663524,79.68509225595531,49350
2010-09-20,80.57491302490234,80.57491302490234,79.36291274875232,79.5776964225174,19000
2010-09-21,80.32942962646484,80.88173373948281,79.99190914575053,80.5595524386123,19250
2010-09-22,79.89985656738281,80.5748916274417,79.74643551799582,80.20668696132755,18100
2010-09-23,79.24018096923828,80.03794722059712,79.10210491565385,79.25552015189606,33350
2010-09-24,80.85828399658203,80.90456324783254,80.10245820851729,80.16415995404977,24100
2010-09-27,80.47264862060547,80.96625664979669,80.47264862060547,80.96625664979669,15000
2010-09-28,80.99707794189453,80.99707794189453,79.76307294039223,80.45720259254978,49850
2010-09-29,80.61145782470703,80.91996057220827,80.38008517723146,80.65773706156253,15900
2010-09-30,80.4880599975586,81.50611494210057,80.17955725104882,81.13591046944873,44750
2010-10-01,80.76571655273438,81.10507018194444,80.33381621315851,81.04336845223337,17100
2010-10-04,80.08698272705078,81.18216747141366,79.82475928906737,81.18216747141366,88700
2010-10-05,81.84547424316406,81.90717008939593,80.84284171833494,80.99709016021593,19850
2010-10-06,81.70662689208984,81.96885035144902,81.45982591919912,81.84545280710333,276900
2010-10-07,81.66036987304688,82.13854946240798,81.22846952407617,82.13854946240798,49900
2010-10-08,82.27738952636719,82.32366289049287,81.49071291522088,81.76835898417691,61550
2010-10-11,82.1385498046875,82.40077333645502,81.96887298568454,82.30822662369047,14200
2010-10-12,82.61674499511719,82.70929172535571,81.55241052375744,82.04601269903654,42050
2010-10-13,83.11034393310547,83.51139347832239,82.70928850368671,82.9715179589531,74450
2010-10-14,82.80184173583984,83.15661792040204,82.36994131710358,83.06406530887203,19100
2010-10-15,82.95606231689453,83.35711761450014,82.30821190657765,83.32626675436126,54950
2010-10-18,83.55764770507812,83.63477780521082,82.86352387748796,83.00234981984609,22850
2010-10-19,82.23111724853516,83.04864474129897,81.76836006435742,82.63216680606023,38550
2010-10-20,83.11034393310547,83.4188467516887,82.47791580290065,82.47791580290065,22800
2010-10-21,83.23371887207031,83.88157520315535,82.75554522342685,83.49594825595243,29400
2010-10-22,83.4342269897461,83.44964947497377,83.24912774601978,83.41880450451843,24850
2010-10-25,83.68106079101562,84.28263798241895,83.6502099242512,84.08211029055079,29600
2010-10-26,83.6656265258789,83.72732236652442,83.20286947373528,83.2337203361582,15000
2010-10-27,83.40338134765625,83.46508306082089,82.69382929886055,83.09487866603226,17150
2010-10-28,83.4650650024414,83.92781598265763,83.11028905480235,83.88154264989541,19250
2010-10-29,83.52680206298828,83.61934876769203,83.29542353282802,83.37254774814797,13400
2010-11-01,83.57308959960938,84.39061701231465,83.11033834494981,84.00498998606477,51550
2010-11-02,84.22093200683594,84.39060882339336,83.95870847884783,84.23636038154164,26100
2010-11-03,84.57572937011719,84.57572937011719,83.54224579262984,84.39062414524659,31850
2010-11-04,86.16445922851562,86.22616093308775,85.40862805800303,85.53203146714729,49000
2010-11-05,86.50385284423828,86.6118279352245,86.13364832928468,86.30332515346338,48300
2010-11-08,86.3958740234375,86.44215326658644,85.99482451608817,86.28789892975878,43400
2010-11-09,85.71715545654297,86.61181277867041,85.4549319626643,86.51926019507788,35700
2010-11-10,86.04109954833984,86.07195041630536,85.08474617821462,85.73260263708754,28200
2010-11-11,85.76338958740234,85.82509128158173,85.16181277964692,85.3623403436312,24000
2010-11-12,84.6991195678711,85.50122448628056,84.35976590279746,85.1464483292497,39450
2010-11-15,84.62198638916016,85.2389860336137,84.56028465945457,85.06931510322453,202750
2010-11-16,83.26457977294922,84.08210711664253,82.89438115415265,84.08210711664253,32850
2010-11-17,83.32624053955078,83.65016564280093,83.12571295383485,83.34166302266829,42450
2010-11-18,84.56027221679688,84.77622235478958,84.12837194081148,84.12837194081148,26100
2010-11-19,84.76080322265625,84.79165408419097,84.09752441016045,84.45230049150933,20250
2010-11-22,84.6836929321289,84.6836929321289,83.74276209534062,84.39061264146959,25350
2010-11-23,83.49594116210938,83.78901549877182,83.23371180050636,83.72731378025348,142400
2010-11-24,84.57572937011719,84.66827609835055,84.02042546390929,84.02042546390929,30100
2010-11-26,84.09751892089844,84.37517077238759,83.92784213563286,84.03581720185645,32650
2010-11-29,84.02040100097656,84.19007779893812,83.03319695923692,83.57307233075072,46000
2010-11-30,83.4342269897461,83.95867975046973,83.15657518205718,83.26455023124744,91950
2010-12-01,85.31611633300781,85.40866304357709,84.74538415822668,84.77623502315006,33350
2010-12-02,86.42669677734375,86.4575476346739,85.40864202224608,85.40864202224608,60650
2010-12-03,86.64265441894531,86.73520699897351,86.10277907928048,86.11820745138513,184100
2010-12-06,86.53466796875,86.70434473438348,86.3804195731918,86.50382299699764,64150
2010-12-07,86.56553649902344,87.44476547845778,86.53468563677306,87.41391461620742,109000
2010-12-08,86.92031860351562,86.95116946790088,86.34959232289019,86.68894594692729,69050
2010-12-09,87.2442398071289,87.41391071563442,86.88946373338094,87.41391071563442,54850
2010-12-10,87.76870727539062,87.8304031232022,87.32137854460072,87.5219062315412,73950
2010-12-13,87.8149642944336,88.26229294199855,87.78411343416705,88.16974036119893,77050
2010-12-14,87.8612289428711,88.20058248800095,87.66070719729379,88.01548322892982,59650
2010-12-15,87.47563171386719,88.07720892297105,87.33680575144311,87.72243277104316,43600
2010-12-16,87.98463439941406,88.04633611525954,87.24423146186689,87.58357913061799,60600
2010-12-17,88.10804748535156,88.18517170166002,87.78412224633568,87.92294818937114,59150
2010-12-20,88.29312896728516,88.49365069902618,87.8920737354052,88.37025316289316,72600
2010-12-21,88.83305358886719,88.9256062055514,88.52455075078868,88.58625249524482,76200
2010-12-22,89.15695190429688,89.15695190429688,88.87930002258152,88.95642423768014,108250
2010-12-23,89.01814270019531,89.09526692979443,88.81762088007787,89.03357107663605,57400
2010-12-27,89.08476257324219,89.11574876471589,88.63538595206437,88.6818711504141,71800
2010-12-28,89.17770385742188,89.27068013490789,88.94527203041268,89.27068013490789,56650
2010-12-29,89.25520324707031,89.44115584811419,89.25520324707031,89.34817954759225,53600
2010-12-30,89.11571502685547,89.30166757213384,89.00724566434488,89.19319820962325,78900
2010-12-31,89.20872497558594,89.20872497558594,88.85232466263412,88.99178616867084,145750
2011-01-03,90.04547119140625,90.38637832224128,89.79754034474558,89.82853243947037,119200
2011-01-04,89.96802520751953,90.30892654580694,89.48765643888491,90.30892654580694,108350
2011-01-05,90.4483642578125,90.4948553594044,89.65808646440809,89.76655584955893,717750
2011-01-06,90.29341888427734,90.58783497238613,90.04548799135975,90.52585077137203,72450
2011-01-07,90.10749816894531,90.54137587884652,89.47217470324405,90.4174074410802,82250
2011-01-10,90.02998352050781,90.09196771775932,89.47214347865949,89.78205264264021,124500
2011-01-11,90.32440948486328,90.52584926810584,89.96800920165877,90.38639368484807,131700
2011-01-12,91.13019561767578,91.20767291996559,90.72730418794599,90.89775779966712,107350
2011-01-13,91.0062026977539,91.22314145020094,90.7737708534768,91.17665626357305,96050
2011-01-14,91.65707397460938,91.68806017487142,90.85129681155684,90.88228892295973,193400
2011-01-18,91.8119888305664,91.87397302650918,91.45558857060291,91.62604215387638,194900
2011-01-19,90.89775085449219,91.81199713839177,90.66531305424327,91.7655119427975,111950
2011-01-20,90.78929138183594,90.94424599151463,90.12297592016652,90.71181407699659,103450
2011-01-21,90.99073791503906,91.53308496489211,90.89776160171876,91.347138249391,117950
