Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,MSFT,SPY,MSFT,SPY,MSFT,SPY,MSFT,SPY,MSFT,SPY
Date,,,,,,,,,,
1986-03-13,0.05982672795653343,,0.06249801382808527,,0.054485384941018504,,0.054485384941018504,,1031788800,
1986-03-14,0.0619632750749588,,0.06303215821284461,,0.05982673752697249,,0.05982673752697249,,308160000,
1986-03-17,0.06303217262029648,,0.06356630712938177,,0.06196328923809281,,0.06196328923809281,,133171200,
1986-03-18,0.06142914667725563,,0.06356629879750524,,0.06089501223818137,,0.06303216435843098,,67766400,
1986-03-19,0.0603608600795269,,0.06196326292634709,,0.059826725797253504,,0.06142912864407369,,47894400,
1986-03-20,0.0587584413588047,,0.06036084377272745,,0.058224307220830454,,0.06036084377272745,,58435200,
1986-03-21,0.057156044989824295,,0.059826715962151264,,0.05608777660089351,,0.058758447573220476,,59990400,
1986-03-24,0.05555366352200508,,0.05715606671446403,,0.05501952912451877,,0.05715606671446403,,65289600,
1986-03-25,0.05662193521857262,,0.05662193521857262,,0.05501953194399841,,0.055553666368856475,,32083200,
1986-03-26,0.05822432413697243,,0.05875845843013082,,0.05608778696433889,,0.05662192125749727,,22752000,
1986-03-27,0.05929259583353996,,0.059292595833539956,,0.058224327191186115,,0.058224327191186115,,16848000,
1986-03-31,0.0587584413588047,,0.05929257549677895,,0.057690173082856205,,0.05929257549677895,,12873600,
1986-04-01,0.05822432413697243,,0.05875845843013082,,0.058224324136972434,,0.05875845843013082,,11088000,
1986-04-02,0.0587584413588047,,0.0598267096347532,,0.058224307220830454,,0.058224307220830454,,27014400,
1986-04-03,0.05929259583353996,,0.06089499879707072,,0.059292595833539956,,0.059292595833539956,,23040000,
1986-04-04,0.05929259583353996,,0.05982673015471688,,0.059292595833539956,,0.059292595833539956,,26582400,
1986-04-07,0.05822432413697243,,0.05982672701644759,,0.05715605555065566,,0.059292592723289204,,16560000,
1986-04-08,0.0587584413588047,,0.0598267096347532,,0.058224307220830454,,0.058224307220830454,,10252800,
